CEP,Nome_Escola,Vagas,Latitude,Longitude
26225530,COLEGIO ESTADUAL ABDIAS NASCIMENTO,4,-22.7622316,-43.4259131
27197000,ESCOLA ESTADUAL MANOEL TEIXEIRA CAMPOS JUNIOR,4,-22.5177053,-44.0025719
21532470,COLEGIO MERCÚRIO,4,-22.8054158,-43.3564639
25802220,COLÉGIO MUNICIPAL WALTER FRANCKLIN,4,-22.1182494,-43.2066879
25953200,ESCOLA GEORGE MARCH,4,-22.4123642,-42.9664876
28400000,COLÉGIO ESTADUAL BARAO DE MACAUBAS,4,-21.6493783,-41.745717
28630140,COLÉGIO ESTADUAL DOUTOR TUFFY EL-JAICK,4,-22.2585379,-42.5350952
20970007,COLÉGIO ROSA DE SARON,4,-22.894497,-43.2569228
21381300,ESCOLA MUNICIPAL PREFEITO FILADELFO AZEVEDO,4,-22.8753406,-43.3141274
28625020,COLÉGIO ESTADUAL PROFESSOR JAMIL EL-JAICK,4,-22.2839156,-42.5352132
21380210,ESCOLA MUNICIPAL QUINTINO BOCAIÚVA,4,-22.886607,-43.3189379
21235130,ESCOLA MUNICIPAL MATO GROSSO,4,-22.8427776,-43.3262394
22221000,COLÉGIO PINHEIRO GUIMARÃES,4,-22.9256611,-43.1760713
22793530,ESCOLA MUNICIPAL TRISTÃO DE ATHAYDE,4,-23.0003709,-43.365895
21843040,ESCOLA MUNICIPAL SAMPAIO CORRÊA,4,-22.8713288,-43.4883603
20745180,ESCOLA MUNICIPAL BRIGADEIRO FARIA LIMA,4,-22.9062526,-43.3083659
22230060,COLÉGIO PENSI,4,-22.9370897,-43.1775269
20550010,COLÉGIO SANTA TERESA DE JESUS,4,-22.9325728,-43.2410248
20240200,ESCOLA MUNICIPAL GUATEMALA,4,-22.917813,-43.188113
22783025,ESCOLA MUNICIPAL OLEGÁRIO DOMINGUES,4,-22.9890011,-43.4540361
25655171,ESCOLA MUNICIPAL PREFEITO JAMIL SABRA,4,-22.5247876,-43.1923827
20510060,REDE MV1 - COLÉGIO MV1 JÚNIOR,4,-22.9338086635,-43.2402547974
24461840,ESCOLA MUNICIPAL PAULO REGLUS NEVES FREIRE,4,-22.7944578,-43.0343412
22430220,COLÉGIO SANTO AGOSTINHO,4,-22.9839639,-43.2215009
20520201,ESCOLA PALAS (R. JOSÉ HIGINO),4,-22.9325728,-43.2410248
